sold_price,zipcode,taxes,year_built,bedrooms,bathrooms,sqrt_ft,garage,fireplaces,log_HOA,dishwasher,freezer,refrigerator,oven,garbage disposal,double sink,microwave,compactor,electric range,island,appliance color,gas range,prep sink,countertops granite,desk,lazy susan,pantry walk-in,pantry closet,pantry cabinet,mexican tile,wood,natural stone,other,ceramic tile,carpet,concrete,cbrt_acres,distance,lat_direction,lon_direction
3411450.0,85750,15393.0,1995,4,6.0,6396.0,3.0,5.0,4.03,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.48,10.01,0,1
3250000.0,85718,27802.84,1999,3,4.0,6842.0,3.0,5.0,6.05,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1.19,2.7,1,0
2400000.0,85712,19038.42,2001,9,8.0,12025.0,4.0,6.0,0.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1.28,6.66,0,1
2500000.0,85750,21646.0,2011,6,8.0,8921.0,4.0,5.0,5.4,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1.02,5.33,1,1
3700000.0,85718,25094.39,2002,5,7.0,5238.0,3.0,1.0,6.05,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1.89,3.19,1,0
3250000.0,85750,18936.11,2007,5,6.0,6480.0,3.0,2.0,4.96,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.52,7.3,1,1
2050000.0,85718,24353.0,2009,5,6.0,7230.0,3.0,4.0,5.88,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1.18,2.98,1,0
2100000.0,85637,11723.0,1995,6,7.0,6454.0,3.0,4.0,0.0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,3.09,68.11,0,1
2200000.0,85658,5198.58,2015,4,6.0,5826.0,3.0,3.0,5.0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.22,22.61,1,0
3000000.0,85739,29669.0,2008,3,3.0,3095.0,0.0,3.0,9.9,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.0,21.74,1,1
2600000.0,85739,18044.0,2008,3,3.0,3095.0,0.0,3.0,0.0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.0,21.62,1,1
3000000.0,85750,24040.26,2002,3,6.0,7756.0,3.0,3.0,4.96,1,0,1,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1.46,6.78,1,1
2500000.0,85718,19565.2,2010,4,5.0,5338.0,4.0,5.0,5.16,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.08,4.78,1,0
2600000.0,85739,17567.18,2008,3,3.0,3095.0,0.0,3.0,0.0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.0,21.77,1,1
2600000.0,85739,8753.35,2008,3,3.0,3095.0,0.0,3.0,0.0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.0,21.74,1,1
2000000.0,85750,11322.0,2001,5,6.0,7471.0,3.0,5.0,4.82,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0.86,6.2,1,1
2400000.0,85718,22655.99,2005,4,7.0,6356.0,4.0,3.0,6.05,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1.51,2.58,1,0
1950000.0,85718,16354.0,1936,7,8.0,5645.0,2.0,7.0,0.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2.36,2.19,0,0
2400000.0,85750,13519.82,1998,3,4.0,4651.0,3.0,3.0,5.71,1,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0.86,10.55,0,1
2550000.0,85718,22070.48,2004,5,8.0,8110.0,4.0,6.0,5.27,1,0,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1.42,2.85,0,0
2600000.0,85739,30072.26,2008,3,3.0,3095.0,0.0,3.0,7.45,1,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.53,21.75,1,1
2350000.0,85658,31275.0,2007,3,5.0,5391.0,3.0,6.0,5.84,1,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2.35,19.23,1,0
2175000.0,85718,21795.32,1997,5,6.0,7132.0,3.0,2.0,6.05,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.08,2.61,1,0
